"Name","PriceRange","Address"
"L'Altra Luna","$99 - $171*","Via Principe Amedeo 307, 00185 Rome, Italy "
"Beverly Inn","$79 - $87*"," 7701 Beverly Blvd., Los Angeles, CA 90036  "
"Rodeway Inn Miami Airport","$53 - $76*"," 1050 NW 14th Street, Miami, FL 33136   "
"Best Roma Hotel","$115 - $365*","Via di Porta Maggiore, 51, 00185 Rome, Italy "
"Chambers of the Boheme","$20 - $100*","Kucukparmakkapi Sokak No 23, Istanbul 80200, Turkey "
"Maple Leaf Guest House","$38 and up*","E4, Block E, 12nd Floor, Chung King Mansions, 36-44 Nathan Road, Kowloon, Hong Kong, China "
"Happy Gecko Hotel & Hostel","0"," 10 th av. calles 6 y 8, Playa del Carmen 77710, Mexico  "
"Columbus Motor Inn","$100 - $175*"," 1075 Columbus Ave, San Francisco, CA 94133  "
"Courtyard by Marriott Ocean City","$109 and up*","Two 15th Street, Ocean City, MD 21842 "
"Baldwin Hotel","$124 - $186*"," 321 Grant Ave, San Francisco, CA 94108  "
"Staybridge Suites Las Vegas","$135 - $175*"," 5735 Dean Martin Drive, Las Vegas, NV 89118  "
"Comfort Inn Gaslamp / Convention Center","$111 - $236*"," 660 G St, San Diego, CA 92101  "
"La Pensione","$110 - $122*"," 606 W. Date St., San Diego, CA 92101  "
"Hilton San Diego Resort & Spa","$151 - $405*"," 1775 East Mission Bay Drive, San Diego, CA 92109  "
"Super 8 San Diego/South Bay","$54 - $146*"," 1788 Palm Avenue, San Diego, CA 92154  "
"Paradise Point Resort & Spa","$208 - $434*"," 1404 Vacation Road, San Diego, CA 92109  "
"Americas Best Value Padre Trail Inn","$63 - $136*"," 4200 Taylor Street, San Diego, CA 92110  "
"Humphreys Half Moon Inn & Suites","$159 - $287*"," 2303 Shelter Island Drive, San Diego, CA 92106  "
"Hampton Inn San Diego Airport / SeaWorld","$107 - $196*"," 3888 Greenwood Street, San Diego, CA 92110  "
"Hampton Inn San Diego/Del Mar","$100 - $191*"," 11920 Camino Real, San Diego, CA 92130  "
"Good Nite Inn Mission Valley","$57 - $85*"," 4545 Waring Road, San Diego, CA 92120  "
"Good Nite Inn Sea World","$46 - $95*"," 3880 Greenwood Street, San Diego, CA 92110  "
"Western Inn & Suites","$73 - $164*"," 3889 Arista Street, San Diego, CA 92110  "
"Point Loma Inn","$79 - $177*"," 2933 Fenelon Street, San Diego, CA 92106  "
"Premier Inns Mission Valley","$45 - $75*"," 2484 Hotel Circle Place, San Diego, CA 92108  "
"Americas Best Value Inn Loma Lodge","$63 - $99*"," 3202 Rosecrans Street, San Diego, CA 92110 (Formerly Loma Lodge) "
"Homestead Studio Suites San Diego / Mission Valley","$78 - $98*"," 7444 Mission Valley Road, San Diego, CA 92108  "
"Harborview Inn and Suites","$72 - $188*"," 550 W Grape St, San Diego, CA 92101  "
"Doubletree Hotel San Diego/Del Mar","$134 - $236*"," 11915 El Camino Real, San Diego, CA 92130-2539  "
"Dolphin Motel","$55 - $75*"," 2912 Garrison St, San Diego, CA 92106  "
"Beach Haven Inn","$121 - $233*"," 4740 Mission Blvd, San Diego, CA 92109  "
"Blue Star Hotel","$87 - $435*"," 51 - 53 Steyne Road | Acton, London W3 9NU, England  "
"Freestanza Accommodation","0","C Sant Miquel 10, 08003 Barcelona, Spain "
"Hotel Banke","$240 - $449*"," 20 Rue Lafayette, 75009 Paris, France  "
"Villa Borghese Resort","$85 - $144*","Via Tevere 15, 00198 Rome, Italy "
"New Hong Kong Hostel","$44 and up*","Flat C1,Floor 6,Block C,Chung King Mansion,Nathan Road 36-44,Kowloon, Hong Kong, China "
"Oxbridge Midtown East Apartments","0"," 210 E 47th St, New York City, NY 10017  "
"Cedarbrook Lodge","$124 - $231*"," 18525 36th Avenue South, Seattle, WA 98188-4967  "
"Shama Causeway Bay","0","8 Russell Street, 7/F, Causeway Bay, Hong Kong, China "
"Hampton Inn & Suites Phoenix North / Happy Valley","$76 - $135*","2550 West Charlotte Drive, Phoenix, AZ 85085 "
"Euro Wembley Hotel London","$60 - $291*"," 1-7 Elm Road, London HA9 7JA, England  "
"Hotel Ibis Mall Of The Emirates","$68 - $144*"," 2 A Street, Dubai 283825, United Arab Emirates  "
"Hyatt At Olive 8","$187 - $303*"," 1635 8th Avenue, Seattle, WA 98101  "
"Travelodge London Barking","0"," Ripple Road | Barking, London IG11 9PN, England  "
"Grandeur Hotel","$88 - $1,089*"," Al Barsha First (Behind the Mall of Emirates) | PO Box 282429, Dubai 49521, United Arab Emirates  "
"Quest World Square","$162 - $270*","2 Cunningham Street, Sydney, New South Wales 2000, Australia "
"SpringHill Suites Las Vegas Convention Center","$128 - $217*"," 2989 Paradise Road, Las Vegas, NV 89109  "
"Ibis Al Barsha","$54 - $109*"," Sheikh Zayed Road, Dubai, United Arab Emirates  "
"Homewood Suites Phoenix North - Happy Valley","$90 - $158*","2470 West Charlotte Drive, Phoenix, AZ 85085 "
"Ria Motor Inn","$39*","3325 Highway 76 West, Branson, MO 65616 "
"Fairmont Battery Wharf","$325 - $567*"," 3 Battery Wharf, Boston, MA 02109  "
"Hampton Inn & Suites Indianapolis-Airport","$107 - $174*"," 9020 Hatfield Drive, Indianapolis, IN 46231  "
"Kings Hotel","$86 and up*","No.303 Jaffe Rd., Wan Chai, Hong Kong, China "
"Eurostars Ramblas Boqueria","$155 - $419*","Rambla de Sant Josep 91 - 93, 08002 Barcelona, Spain "
"Van Der Valk Hotel Berliner Ring","$89 - $142*","Eschenweg 18, 15827 Berlin, Germany "
"Tone on Lex","0"," 179 East 94th, New York City, NY 10128  "
"Hong Kong Hostel","0","3 F, Block A, 47 Paterson Street, Causeway Bay, Hong Kong, China "
"San Diego Downtown Lodge","$71 - $170*"," 1345 10th Ave, San Diego, CA 92101   "
"The Florida Hotel and Conference Center","$104 - $189*"," 1500 Sand Lake Road, Orlando, FL 32809  "
"Quality Suites Lake Buena Vista","$98 - $155*"," 8200 Palm Parkway, Orlando, FL 32836  "
"Sand Castle Motel","0","3619 S. Atlantic Ave., Daytona Beach, FL 32127 "
"Holiday Inn Club Vacations Orlando - Orange Lake Resort","$75 - $190*","8505 W. Irlo Bronson Memorial Hwy., Kissimmee, FL 34747 "
"Disney's Boardwalk Inn","$77 - $621*"," 2101 Epcot Resorts Blvd, Orlando, FL 32830-1000  "
"Disney's Beach Club Resort","$387 - $682*"," 1800 Epcot Resorts Boulevard, Orlando, FL 32830  "
"Westmont Inn&Suites Kissimmee","$29 - $63*","4600 W Irlo Bronson Memorial Hwy, Kissimmee, FL 34746 (Formerly Goldstar Inn & Suites)"
"Buena Vista Motel","0","5200 Irlo Bronson Memorial Highway, Kissimmee, FL 34746 "
"Sky Dragon House","$68 and up*","7/F, Kam Ling Building, 231 Nathan Road, Kowloon, Hong Kong, China "
"Sierra Suites","$75 and up*","1819 S. Atlantic Ave., Daytona Beach, FL 32118 "
"Montreal Hotel","$88 - $265*"," Al Nakhal St | P.O. Box No: 34296, Dubai, United Arab Emirates  "
"Continental Plaza Hotel","$25 - $77*","7785 West US Highway 192, Kissimmee, FL 34747 "
"Ocean Court Motel","$38 and up*","2315 S. Atlantic Ave., Daytona Beach, FL 32118 "
"Flamingo Inn","$29 - $59*","801 E. Vine St., Kissimmee, FL 34744 "
"Disney's Wilderness Lodge","$305 - $527*"," 901 West Timberline Drive, Magic Kingdom, Orlando, FL 32830  "
"Disney's Yacht Club Resort","$388 - $665*"," 1700 Epcot Resorts Boulevard, Orlando, FL 32830  "
"Disney's Grand Floridian Resort and Spa","$461 - $771*"," 4401 Grand Floridian Way, Orlando, FL 32830  "
"Disney's Port Orleans Resort - French Quarter","$191 - $277*"," 2201 Orleans Drive, Orlando, FL 32830 (Formerly Port Orleans Resort) "
"Miami Marriott Dadeland","$152 - $295*"," 9090 S. Dadeland Boulevard, Miami, FL 33156  "
"Residence Inn Miami Coconut Grove","$154 - $283*"," 2835 Tigertail Avenue, Coconut Grove, Miami, FL 33133  "
"Fortune House Hotel","$130 - $207*"," 185 SE 14 Terrace, Miami, FL 33131  "
"Motel 6 New Orleans - Service Road","$56 and up*","12330 I-10 Service Road, I-10 at Bullard Avenue, Exit #245, New Orleans, LA 70128 "
"Ocean Terrace Hotel","$70*"," 7410 Ocean Terrace, Miami, FL 33141  "
"Quality Inn Miami Airport Hotel","$89 - $148*"," 3959 NW 79th Avenue, Miami, FL 33166 (Formerly Fairfield Inn Miami Airport West/Doral Area) "
"Courtyard by Marriott Miami Airport West/Doral","$134 - $194*"," 3929 Northwest 79th Avenue, Miami, FL 33166  "
"Lake Eve Resort","$144 - $268*"," 12388 International Dr, Orlando, FL 32821  "
"Grand Velas All Suites & Spa Resort, Riviera Maya","$449 - $981*"," Carretera Cancun Tulum Km. 62 | Municipio de Solidaridad, Quintana Roo, Playa del Carmen 77710, Mexico  "
"Apartments Gran Via","$73 - $133*","Gran Via de les Corts Catalanes 686, 08010 Barcelona, Spain "
"Antico Panada","$141 - $394*","San Marco, 646, 30124 Venice, Italy "
"Al Tiepolo","0","1204768.json"
"Kaftan Hotel","$53 - $89*","Mimarmehmetaga Caddesi, Amiral Tafdil Sok No:45, Istanbul 34410, Turkey "
"Albergo Firenze","$168 - $416*","1205535.json"
"Drury Inn & Suites Indianapolis Northeast","$114 - $144*"," 8180 N Shadeland Avenue, Indianapolis, IN 46250  "
"Wingate By Wyndham Champaign","$84 - $129*"," 516 West Marketview Drive, Champaign, IL 61822  "
"Ka'anapali Beach Club","$242 - $513*"," 104 Kaanapali Shores Place, Maui, HI 96761  "
"Travaasa Hotel Hana","$350 - $507*"," 5031 Hana Hwy, PO Box 9, Hana, Maui, HI 96713 (Formerly Hotel Hana Maui) "
"Cuscino e Cappuccino","0","Via Vespasiano 9, 192 Rome, Italy "
"Hololani Resort","$180 - $220*"," 4401 Lower Honoapiilani Rd, Lahaina, Maui, HI 96761  "
"Hana Kai Maui","$195 - $275*"," 4865 Uakea Rd, Hana, Maui, HI 96713  "
"Hotel Denit Barcelona","$128 - $243*","Estruc 24 - 26, 08002 Barcelona, Spain "
"Extended Stay Deluxe Indianapolis-Airport-W Southern Ave","$69 - $103*"," 5350 W Southern Ave, Indianapolis, IN 46241  "
"Red Roof Inn Indianapolis - South","$48 - $78*"," 5221 Victory Dr., Indianapolis, IN 46203  "
"Columbia Club","$176 - $257*"," 121 Monument Circle, Indianapolis, IN 46204  "
"Hyatt Place Indianapolis Airport","$100 - $150*"," 5500 Bradbury Ave, Indianapolis, IN 46241 (Formerly AmeriSuites) "
"Kecik","$58 - $76*","Fethibey Cad. No.18 | Laleli, Istanbul, Turkey "
"Jameson Inn of Indy Castleton","$83 - $117*"," 8380 Kelly Lane, Indianapolis, IN 46250 (Formerly Signature Inn) "
"Seminaris CampusHotel Berlin","$117 - $228*","Takustrasse 39 | Opening 16. March 2009, 14195 Berlin, Germany "
"Country Inn & Suites By Carlson Indianapolis-South","$97 - $124*"," 4325 Southport Crossings Way, Indianapolis, IN 46237  "
"Hotel de la Monnaie","$140 and up*","405 Esplanade Ave., New Orleans, LA 70116 "
"Holiday Inn New Orleans French Quarter","$129 and up*","124 Royal St., New Orleans, LA 70130 "
"Super 8 - New Orleans","$53 and up*","6322 Chef Menteur Highway, New Orleans, LA 70126 "
"Doubletree by Hilton Hotel New Orleans","$135 and up*","300 Canal Street, New Orleans, LA 70130-1010 "
"Avenue Garden Hotel","$95 and up*","1509 St. Charles Ave., New Orleans, LA 70130 "
"The Ritz-Carlton New Orleans","$228 - $607*","921 Canal Street, New Orleans, LA 70112 "
"Nine-O-Five Royal Hotel","$136 and up*","905 Royal St, New Orleans, LA 70116 "
"Holiday Inn New Orleans - Chateau Lemoyne","$140 and up*","301 Rue Dauphine, New Orleans, LA 70112 "
"Hampton Inn & Suites Convention Center","$102 - $285*","1201 Convention Center Boulevard, New Orleans, LA 70130 "
"Empress Hotel","$80 and up*","1317 Ursulines Ave, New Orleans, LA 70116 "
"Courtyard New Orleans Downtown Near the French Quarter","$131 and up*","124 St. Charles Avenue, New Orleans, LA 70130 "
"Hotel Sarotti-Hoefe","$112 - $156*","Mehringdamm 57, 10961  Berlin, Germany "
"Hotel Al Sole","$161 - $447*","Santa Croce 134-136, 30135 Venice, Italy "
"Atlantic Coast Inn","0","146th Street, Ocean City, MD 21842 (Formerly Atlantic Budget Inn)"
"Pier 5 Hotel","$262 - $378*","711 Eastern Ave, Baltimore, MD 21202 "
"Beach Walk Hotel","0","2 North 10th Street, Ocean City, MD 21842 "
"Copley House","$160 - $229*"," 239 West Newton St., Boston, MA 02116  "
"Hilton Boston Logan Airport","$194 - $388*"," One Hotel Drive, Logan International Airport, Boston, MA 02128  "
"Holiday Inn Express Boston","$158 - $250*"," 69 Boston Street, Boston, MA 02125  "
"Royal At Newton Hotel Singapore","$144 - $249*","36 Newton Road, Singapore, Singapore "
"Hyatt Regency Hong Kong Tsim Sha Tsui","$286 and up*","No.18 Hanoi Road, Tsim Sha Tsui, Kowloon, Hong Kong, China "
"Oakwater Resort","0","2800 Oakwater Drive, Kissimmee, FL 34747 "
"New San Diego Hotel","0","No.1-4 Chi Woo Street, Hong Kong, China "
"Westgate Town Center","$89 - $149*","4000 Westgate Boulevard, Kissimmee, FL 34747 "
"Bridal Tea House Hotel (Hung Hom - Winslow Street)","$64 and up*","No.57-61 Winslow Street, Hung Hom, Kowloon, Hong Kong, China "
"San Antonio De La Florida Hotel Madrid","0","Paseo De La Florida 13, 28008 Madrid, Spain "
"Nomads Maze Hotel Sydney","$27 - $74*","417 Pitt Street 2000, Sydney, New South Wales 2000, Australia "
"Crosti Apartments Hotel Rome","$86*","via Villafranca 10, 00185 Rome, Italy "
"Hotel Van Gogh","$99 - $233*","Van de Veldestraat 5, Amsterdam 1071, The Netherlands (Formerly Vincent Van Gogh Hotel Amsterdam)"
"The Stone Castle Hotel & Conference Center","$65 and up*","3050 Green Mountain Drive, Branson, MO 65616 "
"Hawaii Hotel Miami","0"," 7430 Ocean Terrace, Miami, FL 33141  "
"Bradford Inn","$60*","3590 State Hwy 265, Branson, MO 65616 "
"The York & Albany","$246 - $873*"," 127-129 Parkway, London, England  "
"Clarion Hotel at the Palace","$99 and up*","2820 W Hwy 76, Branson, MO 65615 "
"Lodge of the Ozarks","$89 and up*","3431 West Hwy 76, Branson, MO 65616 "
"Suncoast Hotel and Casino","$56 - $136*"," 9090 Alta Drive, Las Vegas, NV 89145  "
"Homestead Studio Suites Las Vegas - Midtown","$64 - $80*"," 3045 South Maryland Parkway, Las Vegas, NV 89109  "
"Bally's Las Vegas","$62 - $201*"," 3645 Las Vegas Blvd S, Las Vegas, NV 89109  "
"Hampton Inn Tropicana","$84 - $187*"," 4975 Dean Martin Drive, Las Vegas, NV 89118-1655  "
"Embassy Suites Convention Center Las Vegas","$111 - $222*"," 3600 Paradise Road, Las Vegas, NV 89169  "
"Armagrandi Spina Istanbul","$130 - $398*","Utangac Sok. 19 | Sultanahmet, Istanbul 34400, Turkey "
"Bridal Tea House Hotel (Aberdeen)","0","No.150 Aberdeen Main Road, Aberdeen, Hong Kong Island, Hong Kong, China "
"Bridal Tea House Hotel (AnChor Street)","$79 and up*","No.8 Anchor Street, Tak Kok Tsui, Kowloon, Hong Kong, China "
"Hotel Hamidiye","$79 - $105*","Fevziye Cad.No.1, Sehzadebasi, Istanbul 34470, Turkey "
"Hotel Residence Istanbul","$55 - $92*","19 Sadri AlIsIk Sokak, 34430, Istanbul, Turkey "
"The Bostanci Hotel","$105 - $138*","Mehmet Sevki Pasa cad. No:20, Istanbul 34744, Turkey "
"La Quinta Inn Indianapolis East-Post Drive","$64 - $96*"," 2349 Post Drive, Indianapolis, IN 46219  "
"Campanile Barcelona Sud Cornella Hotel","$73 - $104*","Avenida Maresme, 7, 08940 Barcelona, Spain "
"No 11 Private Members Club","$413 - $413*"," 11 Cadogan Gardens | Sloane Square, Chelsea, London SW3 2RJ, England  "
"Holiday Inn Express Dallas East","$93 - $125*","8703 East RL Thornton Freeway, Dallas, TX 75228 "
"Doubletree Hotel Chelsea New York City","$240 - $482*"," 128 West 29th Street, New York City, NY 10001  "
"China Harbour View Hotel","0","No.189 Gloucester Road, Wanchai, Hong Kong, China "
"Eastside Cannery Casino & Hotel","$45 - $119*"," 5255 Boulder Highway, Las Vegas, NV 89122  "
"Nh Costanza","0","Calle deu i mata, 66-99 Barcelona, Spain "
"Hotel Husa Nuevo Boston","$64 and up*","Avda de Aragon 332, 28027 Madrid, Spain "
"Hotel Area Roma","$78 - $206*","Via del Forte Ostiense s/n | Viale Marconi, 700, 00146 Rome, Italy "
"39 Suites","$125 - $1,582*"," 43 Queensborough Terrace, London W2 3SY, England  "
"Hotel Maikol Rome","$102 - $158*","Piazza Vittorio Emanuele II, 138, 00185 Rome, Italy "
"Ferman Hotel","$125 - $358*","1217168.json"
"Veio Park Hotel","$65 - $165*","Via Cassia 1171 G, 1189 Rome, Italy "
"Plaza Mayor","0","Calle de los Cuchilleros, 14 2_ A, 28005 Madrid, Spain "
"La Casa del Capitano","$119 - $198*","Piazza Barberini 2 | (angolo Via Sistina), 00187 Rome, Italy "
"The Sylvan Guest House","$228 - $459*"," 12 Sylvan Terrace, New York City, NY 10032  "
"The GEM Hotel-Midtown West","$197 - $450*"," 449 W. 36th Street, New York City, NY 10018  "
"Medena","0","Carrer d'En Roig 23, 08001 Barcelona, Spain "
"Le Relais Madeleine","$247 - $660*"," 11 bis, rue Godot de Mauroy, 75009 Paris, France  "
"Ramada Reforma","$73 - $93*"," Puente de Alvarado No 22 | Col Tabacalera, Mexico City 06030, Mexico  "
"Ciutat Hotel","0","Carrer Princesa 33-35, 8003 Barcelona, Spain "
"Star Boutique Hotel Apartments","0"," 28A Street | Port Saeed Area, Dubai 5239, United Arab Emirates  "
"Palace Bonvecchiati (deluxe Rooms)","$326 - $660*","San Marco 4680, 30124 Venice, Italy "
"Dallas Addison Marriott Quorum By the Galleria","$112 - $259*","14901 Dallas Parkway, Dallas, TX 14901 "
"The Standard New York","$278 - $563*"," 848 Washington Street, at West 13th Street, New York City, NY 10014  "
"Banyan Tree Mayakoba","$470 - $1,032*"," Carretera Federal, Playa del Carmen 77710, Mexico  "
"Arcotel John F","$112 - $282*","Werderscher Markt 11, 10117 Berlin, Germany "
"Hotel Teatre Auditori","$94 - $198*","Ribes, 71, 08013 Barcelona, Spain "
"Hotel Unico Madrid","$238 and up*","Claudio Coello 67, 28006 Madrid, Spain "
"Hotel Royal Singapore","$144 - $271*","36 Newton Road, Singapore 307964, Singapore "
"Wow Airport Hotel","$130 - $709*","Istanbul Dunya Ticaret Merkezi Yesilkoy, Istanbul 34 149 , Turkey "
"Americana Inn","$145 - $248*"," 69 West 38th Street, New York City, NY 10018  "
"The Milburn Hotel","$230 - $376*"," 242 West 76th Street, New York City, NY 10023  "
"Seton Hotel","$194 - $294*"," 144 East 40th Street, New York City, NY 10016  "
"Comfort Inn Manhattan","$218 - $378*"," 42 West 35th Street, New York City, NY 10001-2201  "
"Marmara Manhattan Hotel","$261 - $422*"," 301 East 94th Street, New York City, NY 10128  "
"Phillips Club","$420 - $525*"," 155 West 66th Street, New York City, NY 10023-6501  "
"Manhattan Broadway Hotel","$195 - $386*"," 273 West 38th Street, New York City, NY 10018  "
"Quality Hotel - Inn at False Creek","$102 - $227*","1335 Howe Street, Vancouver, British Columbia V6Z 1R7, Canada "
"Hotel Riverview","$75 - $100*"," 113 Jane Street, New York City, NY 10014  "
"Gild Hall - A Thompson Hotel","$228 - $447*"," 15 Gold Street, Entrance on Platt, New York City, NY 10038  "
"Hotel Grand Union","$185 - $319*"," 34 East 32nd Street, New York City, NY 10016  "
"Trianon","$85 - $254*","3 J W Brouwersstraat 1071 Lh, Amsterdam, The Netherlands "
"Botel","0","Oosterdokskade 2-4 1011 Ae ., Amsterdam, The Netherlands "
"BEST WESTERN City View Inn Hotel","0"," 3317 Greenpoint Avenue, New York City, NY 11101   "
"Apartamentos Mayor Centro","0","Esparteros, 6, 28012 Madrid, Spain "
"Hotel Balkan","$81 - $190*"," 33 Shepherds Bush Road, London W6 7LX, England  "
"Petit Prince","$365 - $413*","Prinsengracht 232, Amsterdam 1016HE, The Netherlands "
"Hotel M68","$55 - $96*","Mauerstrase 68, 10117 Berlin, Germany "
"Tulip Hotel Apartments","$61 - $106*"," 5a street 317 community, Dubai, United Arab Emirates  "
"Cultural Hotel","$108 - $242*","270 Jalan Besar 01-01/02 | Little India, Singapore 209019, Singapore "
"Hub Motel","0"," 7605 Roosevelt Blvd., Philadelphia, PA 19152  "
"The Windsor Suites","$145 - $350*"," 1700 Benjamin Franklin Pkwy, Philadelphia, PA 19103 (Formerly Hotel Windsor) "
"Erten Konak","$104 - $331*","1223257.json"
"Roosevelt Inn","$68 - $73*"," 7600 Roosevelt Blvd, Philadelphia, PA 19152  "
"Hotel Diagonal Zero","$127 - $495*","Placa Llevant s/n, 08019 Barcelona, Spain "
"Orlando Sun Resort Hotel","$79 - $250*","6375 W Irlo Bronson Memorial Hwy, Kissimmee, FL 34747 "
"Clarion Hotel","$57 - $90*"," 6101 Shelby Oaks Drive, 6101 Shelby Oaks Drive, Memphis, TN 38134 (Formerly Memphis Plaza) "
"Ramada Plaza Hotel Memphis Airport East","$69 - $109*"," 2490 Mount Moriah Road, Memphis, TN 38115  "
"Ramada Los Angeles Convention Center","$82 - $184*"," 1901 West Olympic Boulevard, Los Angeles, CA 90006   "
"Holiday Inn Express Hotel & Suites Montreal Airport","$132 - $196*","10888 Chemin de la Cote-de-Liesse, Montreal, Quebec H8T 1A6, Canada "
"Motel 6 Memphis East","$34 - $46*"," 1321 Sycamore View Rd, Memphis, TN 38134  "
"Moongate Hotel","$53 - $151*"," Av. Norte, Playa del Carmen 77710, Mexico  "
"Homestead Studio Suites Memphis Airport","$55 - $61*"," 2541 Corporate Avenue East, Memphis, TN 38132  "
"Fairfield Inn & Suites Memphis East","$109 - $128*"," 8489 Highway 64, Memphis, TN 38133  "
"Budgetel Inn & Suites","$75 - $75*"," 3005 Millbranch Road, Memphis, TN 38116 (Formerly Comfort Inn & Suites) "
"Comfort Suites I-240 East-Airport","$86 - $103*"," 2575 Thousand Oaks Cove, Memphis, TN 38118  "
"Abba Atocha Hotel","$59 and up*","Paseo Santa Maria de la Cabeza, 73, 28045 Madrid, Spain "
"Gulhane Park Hotel","$106 - $578*","Nobethane Cad.No:1 | Old city / Sultanahmet, Istanbul 34112, Turkey "
"Hyatt Place Dallas-North","$100 - $176*","122699.json"
"Grand Hyatt DFW","$142 - $319*","2337 South International Parkway, P.O. Box 619045, Dallas, TX 75261-9045 "
"Casa Linnea","$119 - $119*","Via Plinio 22, 193 Rome, Italy "
"Omni Dallas Hotel at Park West","$95 - $191*","1590 LBJ Freeway, Dallas, TX 75234 "
"Ramada Dallas North Hotel and Conference Center","$56 - $58*","122721.json"
"Hotel Boulevard","$56*","1227337.json"
"Barcelona Princess","$129 - $345*","1227764.json"
"Hostal Vazquez de Mella","$55 and up*","Plz Vazquez de Mella, 1-3, 28004 Madrid, Spain "
"Dorint Berlin Airport Tegel","$59 - $98*","Gotthardstrasse 96, 13403 Berlin, Germany "
"Hotel Del Mar","$107 - $171*","1228670.json"
"Casa Batllo","$127 - $175*","Paseo de Gracia 43, 8001 Barcelona, Spain "
"Travelodge London Tower Bridge","$136 - $158*"," 1 Goodmans Yard | Lloyds Court Business Centre, London E1 8AT, England  "
"Ibis Singapore on Bencoolen","$132 - $207*","1229624.json"
"Renaissance Paris Arc de Triomphe Hotel","$372 - $653*"," 39 Avenue de Wagram, 75017  Paris, France  "
"La Hacienda Motel","$66 - $77*"," 5414 1st Ave. S, Seattle, WA 98108  "
"Everspring Inn","$89 - $109*"," 8201 Aurora Ave. N, Seattle, WA 98103 (Formerly Seattle Villager Lodge) "
"The College Inn","$66 - $84*"," 4000 University Way NE, Seattle, WA 98105  "
"Homewood Suites Seattle-Downtown","$161 - $278*"," 206 Western Avenue West, Seattle, WA 98119  "
"Holiday Inn Express Seattle City Center","$137 - $224*"," 226 Aurora Ave., Seattle, WA 98109  "
"Axel Hotel Berlin","$91 - $295*","Lietzenburger Str 13-15, 10789 Berlin, Germany "
"Silver Cloud Inn - University","$148 - $194*"," 5036 25th Ave. NE, Seattle, WA 98105  "
"Winters Hotel Berlin Mitte Am Gendarmenmarkt","$85 - $183*","Charlottenstrasse 66, 10117 Berlin, Germany "
"Silver Cloud Inn - Lake Union","$138 - $231*"," 1150 Fairview Ave. N, Seattle, WA 98109  "
"Motel 6 Seattle South","$46 - $62*"," 20651 Military Rd, Seattle, WA 98198  "
"Marco Polo Motel","$65 - $76*"," 4114 Aurora Ave. N, Seattle, WA 98103  "
"Hampton Inn & Suites Seattle Downtown","$69 - $211*"," 700 Fifth Ave. N, Seattle, WA 98109  "
"Georgetown Inn","$87 - $98*"," 6100 Corson Avenue South, Seattle, WA 98109  "
"DoubleTree Suites by Hilton Hotel Seattle Airport - Southcenter","$107 - $515*"," 16500 Southcenter Pkwy., Seattle, WA 98188-3388  "
"Ibis Sydney King Street Wharf","$144 - $324*","22 Shelley Street, King Street Wharf | Corner Erskine Street, Sydney, New South Wales 2000, Australia "
"Ambassador Transit Hotel Terminal 2","0","Departure Transit Lounge South, Level 3, Changi Int'l Airport Terminal 2, Singapore, Singapore "
"L Residence","0","19 Lewis Rd, Singapore 258616, Singapore "
"Coral Al Khoory Hotel Apartments","$81 - $279*"," Sheikh Zayed Road | P.O. Box 6237, Dubai, United Arab Emirates  "
"Hotel Ida","$59 - $66*","Cankurtaran Mah. Akbiyik Caddesi No 31 | Sultanahmet, Istanbul 34400, Turkey "
"Sheffield House","$55 - $70*"," 3834 N. Sheffield Ave, Chicago, IL 60613  "
"Ohio House Motel","$94 - $154*"," 600 North LaSalle Street, Chicago, IL 60610  "
"Heart O' Chicago Motel","$102 - $113*"," 5990 N. Ridge Ave, Chicago, IL 60660-3263  "
"Milshire Hotel","$60*"," 2525 N. Milwaukee Ave, Chicago, IL 60647  "
"Bellwood Hotel","$40 - $75*"," 1409 W Diversey Pkwy, Chicago, IL 60614  "
"Belair Hotel","$75 - $100*"," 424 W Diversey Pkwy, Chicago, IL 60614  "
"Abbott Hotel","$51 - $100*"," 721 W Belmont Ave, Chicago, IL 60657  "
"Rex Hotel","$79 - $635*"," 49 Shepherds Bush Road, London W6 7LU, England  "
"Apostrophe Hotel","$217 - $303*"," 3 rue de Chevreuse, 75006 Paris, France  "
"Holiday Inn New York City - Wall Street","$179 - $338*"," 51 Nassau Street, New York City, NY 10038  "
"Hotel Le Marais","$176 and up*","717 Conti Street, New Orleans, LA 70130 "
"W New Orleans - French Quarter","$208 and up*","316 Chartres St, New Orleans, LA 70130 "
"Hard Rock Hotel at Universal Orlando","$224 - $463*"," 5800 Universal Blvd, Orlando, FL 32819  "
"Carvi Hotel New York","$228 - $1,533*"," 152 East 55th Street, New York City, NY 10022  "
"The Quincy Hotel by Far East Hospitality","$229 - $414*","22 Mount Elizabeth, Singapore 228517, Singapore "
"Cosmo Hotel Mongkok","$103 and up*","No.88 Tai Kok Tsui Road, Kowloon, Hong Kong, China "
"Fraser Suites Hong Kong","$153 and up*","No.74-80 Johnston Road, Wanchai, Hong Kong, China "
"Hilton Garden Inn Indianapolis Airport","$102 - $199*"," 8910 Hatfield Drive, Indianapolis, IN 46231  "
"Comfort Suites Dallas","$106 - $129*","4275 Dallas Fort Worth Turnpike, Cockrell Hill & I-30, Dallas, TX 75211 "
"Wellesley Manor","$101 - $172*"," 29 Wellesley Street East, Toronto, Ontario M4Y 1G7, Canada  "
"theWit, a Doubletree Hotel","$250 - $497*"," 201 N. State Street, Chicago, IL 60601  "
